Error J1	Error J2	Error J3	Position J1	Position J2	Position J3	desTorque1	desTorque2	desTorque3	coriolis1	coriolis2	coriolis3	grav1	grav2	grav3	time	
0.746487	-1.46974	0.323236	0.126178	-0.159233	0.0258295	-0.0366507	-0.0331263	-0.0226761	-0.00303689	-0.00364663	0.00472498	-0.0916949	0.215134	-0.398382	0.481929	
0.746448	-1.46969	0.323228	0.126216	-0.159284	0.025838	0.186979	0.0145457	-0.0465036	-0.00298031	-0.00357866	0.00463468	-0.0918087	0.215168	-0.39838	0.481929	
0.744498	-1.4672	0.322823	0.128167	-0.161771	0.0262433	0.126737	0.00114521	-0.0406032	-0.00316942	-0.00379765	0.00479936	-0.09776	0.216666	-0.398331	0.485982	
0.738213	-1.45919	0.321515	0.134452	-0.169787	0.0275506	-0.0103436	-0.029243	-0.027228	-0.00341958	-0.00407241	0.00477211	-0.116916	0.221505	-0.398171	0.49814	
0.738427	-1.45946	0.32156	0.134237	-0.169514	0.027506	0.187882	0.0118921	-0.049198	-0.00348226	-0.00414793	0.00487283	-0.116261	0.221341	-0.398176	0.49814	
0.734384	-1.4543	0.320718	0.13828	-0.174674	0.0283477	0.0551491	-0.0167294	-0.035527	-0.00378413	-0.00449193	0.00503842	-0.128569	0.224462	-0.398073	0.506246	
0.734346	-1.45425	0.32071	0.138318	-0.174724	0.028356	0.17695	0.00832562	-0.04915	-0.00374646	-0.00444718	0.00498614	-0.128679	0.224496	-0.398071	0.506246	
0.732302	-1.45164	0.320284	0.140363	-0.177336	0.0287822	0.114382	-0.00513533	-0.0426969	-0.00393694	-0.00466573	0.00511364	-0.134895	0.226081	-0.398018	0.510298	
0.725881	-1.44343	0.318944	0.146783	-0.185542	0.0301217	-0.0224735	-0.0344253	-0.0285984	-0.00419362	-0.00494745	0.0050627	-0.15439	0.231071	-0.39785	0.522457	
0.734842	-1.45488	0.320813	0.137823	-0.17409	0.0282524	0.448379	0.0626982	-0.0810919	-0.00374921	-0.00445215	0.00501958	-0.127176	0.224108	-0.398084	0.505328	
0.734812	-1.45484	0.320807	0.137852	-0.174129	0.0282589	0.177538	0.00857886	-0.0490999	-0.00382077	-0.00453715	0.00511376	-0.127262	0.224135	-0.398083	0.505328	
0.732944	-1.45246	0.320418	0.139721	-0.176515	0.0286483	0.120224	-0.00375465	-0.0431843	-0.00388633	-0.00460798	0.00508621	-0.132943	0.225583	-0.398035	0.508922	
0.727572	-1.44559	0.319297	0.145093	-0.183381	0.0297689	0.0103424	-0.0274195	-0.0319649	-0.00411682	-0.00486263	0.00506503	-0.14926	0.229756	-0.397894	0.519704	
0.727454	-1.44544	0.319272	0.145211	-0.183531	0.0297935	0.168602	0.00412302	-0.0504842	-0.00420057	-0.00496079	0.00516052	-0.149618	0.229848	-0.397891	0.519704	
0.737498	-1.45827	0.321366	0.135167	-0.1707	0.0276996	0.483984	0.071277	-0.0840673	-0.00354813	-0.00422291	0.00490764	-0.119091	0.222059	-0.398153	0.5	
0.723746	-1.4407	0.318498	0.148919	-0.188272	0.0305676	-0.245528	-0.0797942	-0.00361647	-0.00449371	-0.00529413	0.0052995	-0.160867	0.232734	-0.397793	0.526891	
0.723718	-1.44066	0.318492	0.148947	-0.18831	0.0305738	0.168374	0.00287373	-0.0515288	-0.00436797	-0.00514611	0.00515	-0.160948	0.23276	-0.397792	0.526891	
0.721889	-1.43832	0.31811	0.150776	-0.19065	0.030956	0.112803	-0.00869332	-0.0455151	-0.00464578	-0.00546721	0.0053708	-0.166488	0.234189	-0.397744	0.530485	
0.715834	-1.43057	0.316844	0.15683	-0.198401	0.0322223	-0.0180935	-0.0358646	-0.0314362	-0.00491619	-0.00576574	0.00533716	-0.184812	0.238931	-0.397581	0.541267	
0.716119	-1.43094	0.316903	0.156545	-0.198037	0.0321629	0.171292	0.000662888	-0.0543811	-0.00498998	-0.0058534	0.00543331	-0.183948	0.23871	-0.397588	0.541267	
